,loss,accuracy,val_loss,val_accuracy
0,0.767018735408783,0.9037500023841858,7.579908924526535e-06,1.0
1,3.3706047020132246e-07,1.0,2.4131647933245404e-06,1.0
2,2.99707039630448e-07,1.0,8.398267254960956e-07,1.0
3,3.1848406933931983e-07,1.0,4.110727331863018e-07,1.0
4,2.925567628153658e-07,1.0,2.580878231128736e-07,1.0
5,3.262303494011576e-07,1.0,2.0503978248598287e-07,1.0
6,4.06636189609344e-07,1.0,1.8099927956427564e-07,1.0
7,3.600586069296696e-07,1.0,1.9033733167361788e-07,1.0
8,3.000075139425462e-07,1.0,1.6887968001810805e-07,1.0
9,2.204367319791345e-07,1.0,1.3848135438365716e-07,1.0
10,2.59476962582994e-07,1.0,1.1960658241605415e-07,1.0
11,3.0869813372191857e-07,1.0,1.4464049513662758e-07,1.0
12,2.5252347768400796e-07,1.0,1.5974030986853904e-07,1.0
13,1.9699263020811486e-07,1.0,1.4921016600055736e-07,1.0
14,2.1542044237321534e-07,1.0,1.579521722305799e-07,1.0
15,3.1356555041384127e-07,1.0,1.4364708533776138e-07,1.0
16,2.1825140095188544e-07,1.0,1.3073275795250083e-07,1.0
17,3.523094562751794e-07,1.0,1.4185896191065694e-07,1.0
18,2.108501746533875e-07,1.0,1.239775713202107e-07,1.0
19,2.5123111413449806e-07,1.0,1.2437493523975718e-07,1.0
20,2.7656329848468886e-07,1.0,1.5238910577863862e-07,1.0
21,3.1152839596870763e-07,1.0,1.3550112498705857e-07,1.0
22,2.5172778350679437e-07,1.0,1.1364611651742962e-07,1.0
23,2.710005162498419e-07,1.0,1.1960658241605415e-07,1.0
24,2.228209439181228e-07,1.0,1.2973934815363464e-07,1.0
25,2.5778808776522055e-07,1.0,1.269578007168093e-07,1.0
26,2.1040219166934548e-07,1.0,1.0967247021653748e-07,1.0
27,2.0518767485100398e-07,1.0,1.0112914594628819e-07,1.0
28,2.495923752121598e-07,1.0,1.1583161807493525e-07,1.0
29,2.1755421641955763e-07,1.0,1.0828171070897952e-07,1.0
