,loss,accuracy,val_loss,val_accuracy
0,2.2929940223693848,0.8263246417045593,3.847253537969664e-05,1.0
1,1.3930758768765372e-06,1.0,2.5492677195870783e-06,1.0
2,1.095083098334726e-05,1.0,5.016701152271708e-07,1.0
3,1.1880393202545747e-07,1.0,9.596753614005138e-08,1.0
4,9.922914614435285e-07,1.0,3.914431658813555e-07,1.0
5,6.666941487765143e-08,1.0,5.470725454870262e-07,1.0
6,1.0837727870693925e-07,1.0,6.349974910335732e-07,1.0
7,3.6605462128136423e-07,1.0,5.148273203303688e-07,1.0
8,6.706734438921558e-07,1.0,3.56189048034139e-07,1.0
9,2.1177106646064203e-07,1.0,3.3114997677330393e-07,1.0
10,1.6616775155853247e-07,1.0,3.6820702575823816e-07,1.0
11,1.8040935856333817e-07,1.0,2.720563827551814e-07,1.0
12,2.4663812325798062e-08,1.0,2.5262545477744425e-07,1.0
13,7.50928847992327e-08,1.0,1.9973934684003325e-07,1.0
14,1.5179354022620828e-06,1.0,1.9212687618619384e-07,1.0
15,1.7349885865769465e-06,1.0,2.0735190275900095e-07,1.0
16,2.857037202375068e-07,1.0,1.077860147802312e-07,1.0
17,2.1664915550445585e-07,1.0,6.751726999709717e-08,1.0
18,4.559285571303917e-07,1.0,8.574856025234112e-08,1.0
19,2.3160032114333262e-08,1.0,4.1873047251783646e-08,1.0
20,1.5549413490134611e-07,1.0,7.89368286291392e-08,1.0
21,5.14129737894109e-07,1.0,8.775189996867994e-08,1.0
22,1.960669351319666e-06,1.0,7.713376248830173e-08,1.0
23,8.722469857502801e-08,1.0,8.634949466568287e-08,1.0
24,6.967820240788569e-07,1.0,1.9634379455624185e-08,1.0
25,1.6030270444389316e-07,1.0,2.4042201562934906e-09,1.0
26,1.2496974477471667e-07,1.0,2.0035171299781496e-09,1.0
27,2.2745595629203308e-07,1.0,2.8049234046534366e-09,1.0
28,6.400156280506053e-07,1.0,3.405978166171053e-09,1.0
29,2.1054518128948985e-08,1.0,2.20386864313582e-09,1.0
