,loss,accuracy,val_loss,val_accuracy
0,1.3729175329208374,0.9087499976158142,9.934106870446158e-10,1.0
1,4.967053504612018e-11,1.0,5.960463789200787e-10,1.0
2,2.4835267176115394e-10,1.0,3.9736428036896143e-10,1.0
3,0.0,1.0,9.934105760223133e-10,1.0
4,7.450575156831007e-10,1.0,1.9868214018448072e-10,1.0
5,4.967053504612018e-11,1.0,0.0,1.0
6,1.4901159473001968e-10,1.0,0.0,1.0
7,4.967053504612018e-11,1.0,0.0,1.0
8,2.9802316170446375e-10,1.0,0.0,1.0
9,1.9868214018448072e-10,1.0,0.0,1.0
10,5.463757779544665e-10,1.0,0.0,1.0
11,3.973641971022346e-10,1.0,0.0,1.0
12,1.4901159473001968e-10,1.0,0.0,1.0
13,4.967053504612018e-11,1.0,0.0,1.0
14,4.967053504612018e-11,1.0,0.0,1.0
15,9.934107009224036e-11,1.0,0.0,1.0
16,2.9802318946003936e-10,1.0,0.0,1.0
17,4.470347425566956e-10,1.0,0.0,1.0
18,3.973641971022346e-10,1.0,0.0,1.0
19,1.4901159473001968e-10,1.0,0.0,1.0
20,9.934107009224036e-11,1.0,0.0,1.0
21,2.4835267176115394e-10,1.0,0.0,1.0
22,9.934107009224036e-11,1.0,0.0,1.0
23,4.967053504612018e-11,1.0,0.0,1.0
24,4.4703479806784685e-10,1.0,0.0,1.0
25,1.9868214018448072e-10,1.0,0.0,1.0
26,2.4835264400557833e-10,1.0,0.0,1.0
27,2.4835267176115394e-10,1.0,0.0,1.0
28,9.934107009224036e-11,1.0,0.0,1.0
29,9.934107009224036e-11,1.0,0.0,1.0
