,loss,accuracy,val_loss,val_accuracy
0,0.007809239439666271,0.9975000023841858,8.32548630569363e-06,1.0
1,2.071253213387081e-08,1.0,4.364922290278628e-07,1.0
2,5.423891735745201e-08,1.0,2.0324718263964314e-07,1.0
3,2.9007356516785876e-08,1.0,1.2914118485696235e-07,1.0
4,4.415679200064915e-08,1.0,1.0251858384435764e-07,1.0
5,1.832840368365396e-08,1.0,8.801518447398848e-08,1.0
6,1.3560047307237255e-08,1.0,9.000191170116523e-08,1.0
7,4.038181344867553e-08,1.0,1.0549867113240907e-07,1.0
8,3.293124350989274e-08,1.0,8.980326526852878e-08,1.0
9,1.8924430023048444e-08,1.0,7.66906396165723e-08,1.0
10,1.793101667146857e-08,1.0,7.390907796889223e-08,1.0
11,3.784822766306206e-08,1.0,7.669062540571758e-08,1.0
12,4.177256585080613e-08,1.0,7.788263189922873e-08,1.0
13,1.1275196776239227e-08,1.0,7.887607011980435e-08,1.0
14,1.2020255013567294e-08,1.0,7.510111288411281e-08,1.0
15,3.163973616437943e-08,1.0,7.867743079259526e-08,1.0
16,1.5348160076200656e-08,1.0,8.940592977069173e-08,1.0
17,6.655506723518556e-08,1.0,9.079664664568554e-08,1.0
18,1.1771904340207584e-08,1.0,9.477020057602203e-08,1.0
19,1.7583305478297007e-08,1.0,8.32469595479779e-08,1.0
20,2.2351684947352624e-08,1.0,8.702174625341286e-08,1.0
21,1.145345862596514e-07,1.0,9.397540878808286e-08,1.0
22,5.746761644331855e-08,1.0,9.973703640753229e-08,1.0
23,1.529848248082999e-08,1.0,9.059790784249344e-08,1.0
24,3.3527385312481783e-08,1.0,7.788258216123722e-08,1.0
25,3.064642939420992e-08,1.0,8.602847145766646e-08,1.0
26,1.4404384351962563e-08,1.0,7.788261768837401e-08,1.0
27,1.783158509738314e-08,1.0,7.251836109389842e-08,1.0
28,2.1705943709093845e-08,1.0,6.89421710831084e-08,1.0
29,2.170595791994856e-08,1.0,8.34456130860417e-08,1.0
