,loss,accuracy,val_loss,val_accuracy
0,1.2803887128829956,0.731249988079071,21.05424690246582,0.6866666674613953
1,0.5844665765762329,0.7962499856948853,1.0384645462036133,0.6783333420753479
2,0.5385622382164001,0.8187500238418579,0.5007711052894592,0.8083333373069763
3,0.4885844886302948,0.8424999713897705,1.8675545454025269,0.8233333230018616
4,0.398109495639801,0.8733333349227905,0.43303588032722473,0.8383333086967468
5,0.35641828179359436,0.8799999952316284,0.41928333044052124,0.8366666436195374
6,0.2515147030353546,0.9137499928474426,0.5178959369659424,0.7933333516120911
7,0.2118193656206131,0.9245833158493042,0.38926348090171814,0.8533333539962769
8,0.16621996462345123,0.9433333277702332,0.39263156056404114,0.878333330154419
9,0.1339741349220276,0.9566666483879089,1.3766908645629883,0.8033333420753479
10,0.18246394395828247,0.9383333325386047,0.5045961737632751,0.8349999785423279
11,0.10188429802656174,0.9704166650772095,0.5240522623062134,0.8533333539962769
12,0.11930156499147415,0.9662500023841858,0.49325302243232727,0.8333333134651184
13,0.06575900316238403,0.9804166555404663,0.4363013207912445,0.875
14,0.05540275573730469,0.98458331823349,0.4578617811203003,0.8700000047683716
15,0.046406883746385574,0.9833333492279053,0.6224995851516724,0.8500000238418579
16,0.05398781970143318,0.981249988079071,0.4924921691417694,0.846666693687439
17,0.04555889964103699,0.9858333468437195,0.568202793598175,0.8766666650772095
18,0.06332386285066605,0.98458331823349,0.6110257506370544,0.8583333492279053
19,0.05051625147461891,0.9854166507720947,0.5291004180908203,0.8816666603088379
20,0.03540603816509247,0.9866666793823242,0.544762372970581,0.8700000047683716
21,0.01956493780016899,0.9941666722297668,0.5621451735496521,0.8816666603088379
22,0.034162454307079315,0.9895833134651184,0.5865857005119324,0.8366666436195374
23,0.041398078203201294,0.9925000071525574,0.44220465421676636,0.8949999809265137
24,0.03349318727850914,0.9895833134651184,0.41015729308128357,0.9016666412353516
25,0.01953069306910038,0.9937499761581421,0.48034122586250305,0.8833333253860474
26,0.0260910764336586,0.9916666746139526,0.6622362732887268,0.8583333492279053
27,0.03167835995554924,0.9870833158493042,0.5437429547309875,0.875
28,0.03602498024702072,0.9887499809265137,0.49304530024528503,0.8733333349227905
29,0.038048360496759415,0.9854166507720947,0.4852251708507538,0.8883333206176758
