,loss,accuracy,val_loss,val_accuracy
0,3.2583770348537655e-08,1.0,5.980292883123184e-08,1.0
1,9.541160039816532e-08,1.0,4.529930563990092e-08,1.0
2,2.4349236582565936e-07,1.0,4.470324554972649e-08,1.0
3,4.221896787726109e-08,1.0,5.384250556517145e-08,1.0
4,3.4272513715905006e-08,1.0,5.1458368233170404e-08,1.0
5,7.326055140310928e-08,1.0,5.7816052390080586e-08,1.0
6,4.644133611009238e-08,1.0,5.6623974842295866e-08,1.0
7,6.928903673042441e-08,1.0,6.377644723443154e-08,1.0
8,9.993107852324101e-08,1.0,5.404115555052158e-08,1.0
9,5.3989786863439804e-08,1.0,6.059756429976915e-08,1.0
10,1.231828417047609e-08,1.0,5.682267101292382e-08,1.0
11,7.783125255400591e-08,1.0,4.9272856017523736e-08,1.0
12,1.0286427709615964e-07,1.0,5.761736687759367e-08,1.0
13,2.577891855537473e-08,1.0,6.894202897456125e-08,1.0
14,5.929913413638133e-07,1.0,4.5100613021986646e-08,1.0
15,9.069179895959678e-08,1.0,5.145834336417465e-08,1.0
16,1.0673493733293071e-07,1.0,5.384249845974409e-08,1.0
17,1.1631723850769049e-07,1.0,4.4305895841034726e-08,1.0
18,1.4553453553389772e-08,1.0,4.41072280921162e-08,1.0
19,3.5414810639622374e-08,1.0,5.980284356610355e-08,1.0
20,5.264987379405284e-08,1.0,5.9405490304698105e-08,1.0
21,1.6391227930512287e-08,1.0,4.827948174579433e-08,1.0
22,1.8874779073030368e-08,1.0,4.470324554972649e-08,1.0
23,4.5248942370790246e-08,1.0,3.735210540867229e-08,1.0
24,1.8427703807333273e-08,1.0,4.7484768117556087e-08,1.0
25,1.3609700033612171e-08,1.0,5.503454758581938e-08,1.0
26,1.6540241176699055e-08,1.0,4.867684211262713e-08,1.0
27,1.0678257211793607e-07,1.0,4.331247893674117e-08,1.0
28,3.4669817239318945e-08,1.0,4.728607549964181e-08,1.0
29,2.9504024112725347e-08,1.0,6.715386291489267e-08,1.0
